영화명,영화명(영어),제작연도,국적,유형,장르,제작상태,감독,제작사
"섹스, 거짓말 그리고 비디오 테이프","Sex, Lies, and Videotape",2011,한국,장편,코미디,개봉,봉만대,"(주)스넵쏘울,영화사뜰(주)"
후궁 : 제왕의 첩,The Concubine,2012,한국,장편,"사극,멜로/로맨스",개봉,김대승,(주)황기성 사단
크레이지 호스,Crazy Horse,2011,"미국,프랑스",장편,다큐멘터리,개봉,프레데릭 와이즈만,
너무 밝히는 소녀 알마,Turn me on goddammit!,2011,노르웨이,장편,코미디,개봉,야니케 시스타드 야콥슨,
리틀 엠마,Little Emma,2024,미국,장편,애니메이션,개봉,레오 루이스 랴오,
괴도 퀸은 서커스를 좋아해,Mirage QUEEN Prefers Circus,2022,일본,장편,애니메이션,개봉예정,덴 사오리,
왕과 사는 남자,,2024,한국,장편,사극,촬영준비,장항준,(주)비에이엔터테인먼트
6시간 후 너는 죽는다,You Will Die In 6 Hours,2024,한국,장편,스릴러,개봉,이윤석,"(주)미스터리픽처스,(주)라이브러리컴퍼니"
사방지,Sa Bangji,1988,한국,장편,사극,개봉,송경식,인창영화(주)
셀러브리티 섹스테이프,Celebrity Sex Tape,2012,미국,장편,코미디,개봉,스콧 휠러,
댄서김의 은밀한 교수법,,2013,한국,장편,"미스터리,멜로/로맨스",개봉,신혜성,(주)베드픽쳐스
오후 네시,4:00 PM,2024,한국,장편,드라마,개봉,송정우,(주)에이치에스이디
치어리더 캠프,#1 Cheerleader Camp,2010,미국,장편,코미디,개봉,마크 쿠오드,
AV 아이돌,AV Idol,2012,"한국,일본",장편,코미디,개봉,조조 히데오,(주)영화사조아
더 피플 아이브 슬렙 위드,THE PEOPLE I'VE SLEPT WITH,2009,미국,장편,"코미디,드라마",개봉,쿠엔틴 리,
비키니 대작전,Summer Love,2011,홍콩,장편,"코미디,멜로/로맨스",개봉,전국위,
사실.. 누나도 넣어주길 원했다,,2024,한국,장편,성인물(에로),개봉,,(주)샤이커뮤니케이션즈
돌싱어부: 낚시의 목적,,2024,한국,장편,드라마,개봉,,
대물에 짓눌려진 윗집 처녀,,2024,한국,장편,성인물(에로),개봉,,(주)샤이커뮤니케이션즈
하얼빈,HARBIN,2022,한국,장편,드라마,개봉예정,우민호,(주)하이브미디어코프
스트레스 제로,Stress Zero,2020,한국,장편,애니메이션,개봉,이대희,"(주)이대희 애니메이션스튜디오,(주)302플래닛"
핑크퐁 원더스타 특별편: 호기와 도둑자동차,Pinkfong & Hogi Mini-Movie : The Tricky Three Cars,2023,한국,장편,애니메이션,개봉,,더핑크퐁컴퍼니(주)
"결혼, 하겠나?",Can we get married?,2021,한국,장편,코미디,개봉,김진태,"(주)영화사 이창,영화사 질주"
차가운 것이 좋아! (가제),,2024,한국,장편,"드라마,판타지",후반작업,홍성은,"푸를 홍,국가인권위원회"
보고타: 마지막 기회의 땅,Bogota: City of the Lost,2021,한국,장편,드라마,개봉준비,김성제,"(주)영화사수박,(주)이디오플랜"
탈주의 동물기,Observation diary on escaped animals,2023,한국,장편,"판타지,미스터리,코미디",개봉준비,박주은,주리메지
폭설,Heavy Snow,2023,한국,장편,드라마,개봉,윤수익,린트필름
베놈: 라스트 댄스,Venom: The Last Dance,2024,미국,장편,"액션,SF,스릴러",개봉,켈리 마르셀,
마이펫의 컴백홈 어드벤처 ,Gracie and Pedro: Pets to the Rescue,2024,미국,장편,애니메이션,개봉,케빈 도노반,
룸 넥스트 도어,The Room Next Door,2024,미국,장편,드라마,개봉,페드로 알모도바르,
개그맨,Helpless,2023,한국,장편,코미디,개봉,전승표,한국예술종합학교
유혹 : 내 아내의 비밀,A Secret of My Wife,2016,일본,장편,기타,개봉,조조 히데오,
유혹의 기술,10 Rules for Sleeping Around,2013,미국,장편,"코미디,멜로/로맨스",개봉,레슬리 그리프,
사슬-두여자의유혹-무삭제,,2016,한국,장편,"스릴러,멜로/로맨스",개봉,박선욱,스마일컨텐츠
사슬 - 두 여자의 유혹,,2016,한국,장편,"스릴러,멜로/로맨스",개봉,박선욱,스마일컨텐츠
색몽 H컵의 유혹,,2018,일본,장편,기타,개봉,아사기리 키요시,
그녀의 대범한 유혹,,2019,일본,장편,기타,개봉,아사기리 조,
처형의 유혹,,2019,일본,장편,기타,개봉,핫시이,
새엄마의 유혹,,2019,일본,장편,기타,개봉,아카바네 키쿠지로,
음란서생,Forbidden Quest,2006,한국,장편,"사극,코미디",개봉,김대우,(주)영화사비단길
음란한 가족,,2014,한국,장편,"코미디,드라마,가족",개봉,신정균,(주)KW비젼
음란한 자매,,2019,한국,장편,"코미디,드라마",개봉,김래이,노바엔터테인먼트 
이브의 유혹 - 키스,Temptation Of Eve -Kiss,2007,한국,장편,스릴러,개봉,남기웅,(주)화인웍스
이브의 유혹 - 그녀만의 테크닉,Temptation Of Eve - Technique Of Her Own,2007,한국,장편,스릴러,개봉,유재완,(주)화인웍스
호랑님의 생일날,,2023,한국,장편,기타,개봉,이광범,(주)니즈텔레콤
미공개 속살 맛 보여준 노처녀,,2024,한국,장편,성인물(에로),개봉예정,,(주)샤이커뮤니케이션즈
내 애인 옆에서 삽입한 남의 구멍,,2024,한국,장편,성인물(에로),개봉예정,,(주)샤이커뮤니케이션즈
구멍으로 위로해 주는 사모님,,2024,한국,장편,성인물(에로),개봉예정,,(주)샤이커뮤니케이션즈
러브씬,Love Scene,2013,한국,옴니버스,"멜로/로맨스,드라마",개봉,"문인대,이정원,김두헌",(주)스푸키번치
"줄리엣, 네이키드","Juliet, Naked",2018,미국,장편,멜로/로맨스,개봉,,
명탐정 코난: 100만 달러의 펜타그램,Detective Conan the Movie: The Million-dollar Pentagram,2024,일본,장편,애니메이션,개봉,나가오카 치카,TMS 엔터테인먼트
리얼 페인,A REAL PAIN,2024,"폴란드,미국",장편,"드라마,코미디",개봉예정,제시 아이젠버그,
언더독,Underdog,2018,한국,장편,애니메이션,개봉,"오성윤,이춘백",(주)오돌또기 
트라페지움,Trapezium,2024,일본,장편,애니메이션,개봉예정,,
저니 투 베들레헴,Journey to Bethlehem,2023,미국,장편,"가족,뮤지컬",개봉예정,,
에로만화원작 변태두꺼비교사,Hop Step Jump,2010,일본,장편,"액션,멜로/로맨스,코미디",개봉,나카노 타카오,
변태정력왕 : 투명인간의탄생,Invisible Kinky Man - Forbidden Love Portion,2016,일본,장편,기타,개봉,오쿠 와타루,
50대 장모님의 불타는 사위사랑,,2017,한국,장편,기타,개봉,김두민,두리컴
순결선언 : 죄책감에 젖은 육체,ANOHITODAKETO CHIKATTANONI,2018,일본,장편,기타,개봉,이나바루,
남친이 군대 간 사이,,,한국,장편,,개봉,,주식회사 루믹스미디어
교환부부의 세계3 ： 그들만의 은밀한 테크닉,,,한국,장편,,개봉,,주식회사 루믹스미디어
술집에서 몰래 하는 사이,,,한국,장편,,개봉,핑마,와이제이스토리
AS기사 유혹하는 여주인,,,한국,장편,,개봉,핑마,와이제이스토리
여대생 가사도우미,,2023,한국,장편,,개봉,,
mz 자매의 목적,,2023,한국,장편,,개봉,함성한,P&미디어
새엄마 아빠에게는 비밀로 해요,MOTEASOBUGIRINOHAHA,2022,일본,장편,,개봉,,
여사장 : 월급대신 떡,,2023,한국,장편,,개봉,,(주)영화사가을
우리동네 미용실 ： 2대1서비스,,2023,한국,장편,,개봉,한마음,주식회사 루믹스미디어
그녀의 PS파트너,,,한국,장편,,개봉,,주식회사 루믹스미디어
젖 큰 가정교사와 이대일 2,,2023,한국,장편,,개봉,조현규,주식회사 루믹스미디어
외로운 아줌마의 성욕,,2018,일본,장편,,개봉,테에자가,
여직원 사용 설명서,,2019,한국,장편,,개봉,마의성,노바엔터테인먼트 
착한언니 : AV 도우미,Shinjuku Female Black Swan,2017,일본,장편,,개봉,야마우치 다이스케,
섹남섹녀,,2018,한국,장편,,개봉,최석원,(주)씨맥스커뮤니케이션즈
신입 여직원 길들이기,,2018,일본,장편,,개봉,아사기리 키요시,
형님 아내4(우주공주 춘향),,2017,한국,장편,,개봉,이돌,이돌영화사
"유기농 섹드립 로맨스 ""오목리 미스킴""",,2017,한국,장편,,개봉,"김원기,윤민채",(주)코빈커뮤니케이션즈
폭풍우 : 죽을 때 까지 하고 싶어,YUUKO SHIRAKI NIGHT WITH A YOUNG LADY WITH A STORM RELATIVE AND TWO PEOPLE,2018,일본,장편,,개봉,마메자와 마메타로,
미망,MIMANG,2023,한국,장편,"멜로/로맨스,드라마",개봉예정,김태양,"주식회사 제이콥홀딩스,영화사 은하수"
엄마 친구 : 매일밤 찾아와 해주는 그녀,,2018,일본,장편,,개봉,카와이 조지,
내딸 : 아찔한 동거,,2018,한국,장편,,개봉,최석원,(주)씨맥스커뮤니케이션즈
은밀한쇼-달의장,KINBAKU 月の章,2016,일본,장편,,개봉,토모마츠 나오유키,
유부녀 야썰,,2017,한국,장편,,개봉,최석원,(주)씨맥스커뮤니케이션즈
달콤한 여선배 무삭제,,2017,한국,장편,,개봉,양석우,(주)영화사히트
여선생 무삭제,,2017,한국,장편,,개봉,김대성,(주)영화사히트
거부 못할 제자의 향기,THE QUILT & EROS,2016,일본,장편,,개봉,토미오카 타다후미,
내 여자가 된 형수,,2018,한국,장편,기타,개봉,"최석원,최석원",(주)씨맥스커뮤니케이션즈
형수의 성교육,,2019,한국,장편,,개봉,김석만,노바엔터테인먼트 
형수와의 비밀 - 체인지,,2019,일본,장편,기타,개봉,,
형수님은 열아홉,,2020,한국,장편,기타,개봉,최성은,(주)영화사히트
착한처제 2019,,2019,한국,장편,기타,개봉,왕지방,(주)소나무픽쳐스
어린 처제2,,2023,한국,장편,,개봉,,영화사 레드카펫
사촌누나와 동거-무삭제,,2017,한국,장편,기타,개봉,김순수,(주)이놀미디어
발칙한 동거 무삭제,,2017,한국,장편,,개봉,오재학,(주)로드하우스
발칙한 동거,,2017,한국,장편,,개봉,오재학,노바엔터테인먼트 
동경의 황혼,Tokyo Twilight,1957,일본,장편,"드라마,가족",개봉,오즈 야스지로,
쾌락 도우미 무삭제,,2017,한국,장편,,개봉,김재승,노바엔터테인먼트 
사촌여동생 무삭제판,,2017,한국,장편,,개봉,양호열,케이제이픽처스
제주도 야한밤 무삭제,,2018,한국,장편,,개봉,박은석,(주)씨맥스커뮤니케이션즈
제주도 야한밤,,2018,한국,장편,,개봉,박은석,(주)씨맥스커뮤니케이션즈
형수의 직업_무삭제판,,2017,한국,장편,,개봉,노현진,(주)마이애미미디어
섹스 인 더 게임 ,,2017,한국,장편,,개봉,신성진,영드래곤 미디어
섹스 인 더 게임 무삭제판,,2017,한국,장편,,개봉,신성진,영드래곤 미디어
19금 비밀과외,,2020,한국,장편,기타,개봉,리차드 킴,영화사 산들바람
할머니가 죽기 전 백만장자가 되는 법,How to Make Millions before Grandma dies,2024,태국,장편,드라마,개봉,팟 부니티팻,
쾌락을 알려준 새엄마,Kinshin-mugon-sokan Usui Satomi,2018,일본,장편,성인물(에로),개봉,사루,
거유 새댁의 불륜,,2017,일본,장편,,개봉,치바 다이스케,
말할 수 없는 만남 - 남편 상사와의 불륜,,2019,일본,장편,기타,개봉,,
스윙어:막장불륜멜로,Swing,2018,칠레,장편,코미디,개봉,,
브레드이발소: 빵스타의 탄생,Bread Barbershop: Bakery Stars,2024,한국,장편,애니메이션,개봉,정지환,㈜브레드이발소
음란한 좀비녀의 섹스 일기,Half Zombie dead or alive,2015,일본,장편,기타,개봉,,
섹스앤러브돌,SEX and Love Doll : Angela,2018,일본,장편,기타,개봉,,
노크노크-섹스별장 ,Homejack Reverse,2017,일본,장편,기타,개봉,,
애송이 섹스 : 누나가 다 가르쳐 줄게,MOM'S FRIEND MAKOODA,2018,일본,장편,,개봉,카와이 조지,
섹스 시그널 : 옆집 총각과 일본 새댁,HOUSE WIFE'S YELLOW HANDKERCHIEF WAKANA NAO,2018,일본,장편,,개봉,마메자와 마메타로,
오지: 사라진 숲을 찾아서,Ozi: Voice of the Forest,2023,미국,장편,애니메이션,개봉,,
기억의 조각,Pieces of Memories,2023,한국,장편,드라마,개봉준비,이광복,
잃어버린 얼굴 1895,Lost Face,2020,한국,장편,"뮤지컬,공연",개봉,이지나,(재)서울예술단
자유로운 사람은 혼자 남는다,The Free End Alone,2024,한국,장편,"미스터리,판타지",개봉준비,이공희,이공희 필름
쥬라기캅스 극장판: 전설의 고대생물을 찾아라,,2024,한국,장편,애니메이션,개봉,이재민,(주)스튜디오버튼 
"빗자루, 금붕어 되다",A Broom Becomes a Goldfish,2008,한국,장편,드라마,개봉,김동주,김동주필름
내 아내의 대낮 정사,Family Breakdown,2015,일본,장편,기타,개봉,,
철없는 아내의 이중생활,,2017,한국,장편,,개봉,최석원,(주)씨맥스커뮤니케이션즈
아내들의 속사정,,2017,한국,장편,,개봉,"최석원,최석원",(주)씨맥스커뮤니케이션즈
아내와 제자들: 네토라레,,2017,한국,장편,,개봉,노현진,(주)마이애미미디어
내 아내의 초대남들: 네토라레_무삭제판,,2018,한국,장편,,개봉,노현진,(주)마이애미미디어
불륜에 맛들린 순진한 아내,,2018,일본,장편,,개봉,아라시야마 미치루,
몸으로 접대한 아내,,2018,일본,장편,,개봉,아카바 키쿠지로,
아내의 욕정을 풀어준 편집장,,2017,일본,장편,,개봉,치바 다이스케,
금지된 사랑 : 나는 친구의 아내를…,,2017,일본,장편,,개봉,아사기리 키요시,
외도에 빠진 아내,,2017,한국,장편,기타,개봉,박은석,(주)레드언더미디어
성 심청전,,2017,한국,장편,,개봉,이슬,골든타이드픽처스(주)
충격 여성 수용소: 섹스스캔들,confidential Ward Area88,2015,일본,장편,,개봉,,
형님아내3감독판(아랫집 부인) ,,2016,한국,장편,,개봉,이돌,이돌영화사
사오리의 비뇨기과,DISTORTED CLINIC,2008,일본,장편,,개봉,오부치 아키라,
연상녀들 : 내가 가르쳐 줄게,,2017,한국,장편,기타,개봉,이리단,(주)영화사가을
처제의 속사정2,,2018,한국,장편,,개봉,최석원,(주)레드언더미디어
처제의 속사정,,2017,한국,장편,,개봉,최석원,(주)씨맥스커뮤니케이션즈
결혼을 반대한 형이 아내를 건드렸다,,,한국,장편,,개봉,핑마,와이제이스토리
컬트 시카리오,Cult Killer,2024,미국,장편,"미스터리,스릴러,범죄",개봉,존 키스,
즙 잘 뽑아내주는 온천 여사장,RYOKOUDAIRGYOUSYA,2023,일본,장편,"멜로/로맨스,드라마",개봉,,
음란한 이웃집 육덕녀,,2024,한국,장편,성인물(에로),개봉,,(주)샤이커뮤니케이션즈
시아버지와 같은 침대에 누워있는 며느리,OXTUTONIHAIENAITUMA-01,2023,일본,장편,"멜로/로맨스,드라마",개봉,,
새엄마 구멍을 꽉 채워준 의붓아들,SEIKOUNOKAIRAKU-02,2023,일본,장편,"멜로/로맨스,드라마",개봉,,
무능한 남편에게 지친 아줌마,,2024,한국,장편,성인물(에로),개봉,,(주)샤이커뮤니케이션즈
키타로 탄생 게게게의 수수께끼: 트루 에디션,The Brith of Kitaro: The Mystery of GeGeGe TruBorn Edition,2023,일본,장편,애니메이션,개봉,,
양치기,A Good Boy,2024,한국,장편,"드라마,스릴러",개봉,손경원,"방과후 필름,영화사 손가락"
너무 큰 여선배 - 무삭제,,2020,한국,장편,멜로/로맨스,개봉,천성준,(주)케이피에이기획
너무 큰 여선배,,2020,한국,장편,멜로/로맨스,개봉,천성준,(주)케이피에이기획
남편만 몰라요 (무삭제),,2015,한국,장편,"멜로/로맨스,코미디",개봉,고광현,(주)큰손엔터테인먼트
남편만 몰라요,,2015,한국,장편,"멜로/로맨스,코미디",개봉,고광현,(주)큰손엔터테인먼트
"금지된 섹스, 달콤한 복수 무삭제 감독판",,2015,한국,장편,멜로/로맨스,개봉,이숭환,(주)케이알씨지
"금지된 섹스, 달콤한 복수",,2015,한국,장편,"멜로/로맨스,스릴러",개봉,이숭환,(주)케이알씨지
내 학생의 엄마 5 무삭제,,2021,한국,장편,"멜로/로맨스,드라마",개봉,조태호,(주)영화사가을
내 학생의 엄마 5,,2021,한국,장편,"멜로/로맨스,드라마",개봉,조태호,(주)영화사가을
